run_id,experiment_name,condition_id,run_number,sensor_name,n_train_stacks,n_val_stacks,n_samples_per_class_0,n_samples_per_class_1,catastrophic_prob_type1,catastrophic_prob_type2,p_hat,se,ci_lo,ci_hi,true_disturbed_prop,f1_pixel,f1_sample,n_class0,n_class1,pixel_agreement,pixel_precision,pixel_recall,pixel_iou
run_ID_20260727_171744_63613e,point_sampling_sensitivity,n50_distLow,1,Sensor_Clean,20,40,50,50,0.01,0.01,0.00795364135946554,0.00028706461501491537,0.00739100505280045,0.00851627766613063,0.00780028795527595,0.9345720109303586,0.9690721649484536,50,50,0.9992427405138722,0.9216916769217444,0.9850452121493161,0.9067368890710604
run_ID_20260727_171744_63613e,point_sampling_sensitivity,n50_distLow,1,Sensor_X,20,40,50,50,0.01,0.01,0.006461928169499871,0.0006043321422877672,0.005277458935915912,0.00764639740308383,0.00780028795527595,0.7192424355743745,0.823529411764706,50,50,0.995957148300192,0.681988515142972,0.8139562880220644,0.5806029537346081
run_ID_20260727_171744_63613e,point_sampling_sensitivity,n50_distLow,1,Sensor_Y,20,40,50,50,0.01,0.01,0.004804638125751436,0.0012924049243245917,0.002271571020633022,0.00733770523086985,0.00780028795527595,0.3103888543343379,0.3606557377049181,50,50,0.9789362840976542,0.2454220119912165,0.5353803008114328,0.19062273686712206
run_ID_20260727_171744_63613e,point_sampling_sensitivity,n50_distLow,1,Sensor_Z,20,40,50,50,0.01,0.01,0.021281498642210173,0.019389739382219023,0.0,0.05928468950097737,0.00780028795527595,0.1550898349187779,0.07210372422728864,50,50,0.9634244623676398,0.10103328088286645,0.2745300032530888,0.07300492719472289
run_ID_20260727_171819_45c49c,point_sampling_sensitivity,n50_distLow,2,Sensor_Clean,20,40,50,50,0.01,0.01,0.01117089632457313,0.0,0.01117089632457313,0.01117089632457313,0.011433168419166794,0.9859362645703028,1.0,50,50,0.9997474487373174,1.0,0.9749402883899989,0.9749402883899989
run_ID_20260727_171819_45c49c,point_sampling_sensitivity,n50_distLow,2,Sensor_X,20,40,50,50,0.01,0.01,0.009759002521946445,0.0008694010446139629,0.008055007786381577,0.011462997257511313,0.011433168419166794,0.7181062755303913,0.8372093023255814,50,50,0.9952571768823303,0.6655328232222415,0.8238277633396214,0.5909114163320721
run_ID_20260727_171819_45c49c,point_sampling_sensitivity,n50_distLow,2,Sensor_Y,20,40,50,50,0.01,0.01,0.006190344941636923,0.0014180908088298671,0.003410938029523109,0.008969751853750738,0.011433168419166794,0.34726817794714887,0.43750000000000006,50,50,0.9815600440498289,0.3045544919229787,0.5050294604563407,0.22442367712765016
run_ID_20260727_171819_45c49c,point_sampling_sensitivity,n50_distLow,2,Sensor_Z,20,40,50,50,0.01,0.01,0.02286016978349848,0.019345731527157534,0.0,0.060777106831308304,0.011433168419166794,0.1127511112522439,0.12199530517121841,50,50,0.9619752366334889,0.09142465762043954,0.22641537785660776,0.05607971073211728
run_ID_20260727_171902_4d11a5,point_sampling_sensitivity,n50_distLow,3,Sensor_Clean,20,40,50,50,0.01,0.01,0.007084867708357342,0.0,0.007084867708357342,0.007084867708357342,0.007924821681539096,0.9390904286834542,1.0,50,50,0.9990749739183717,0.9976285756632578,0.8920603411354715,0.891313042358757
run_ID_20260727_171902_4d11a5,point_sampling_sensitivity,n50_distLow,3,Sensor_X,20,40,50,50,0.01,0.01,0.006098464768030864,0.0007113393760007712,0.004704265210284157,0.007492664325777571,0.007924821681539096,0.7089917947164329,0.75,50,50,0.9951475974510465,0.6884195519809526,0.791120957291051,0.5683875747731575
